Mg	Zn	Cu	formation energy
			eV/atom
1	0	0	0
1	0	0	0.003
1	0	0	0.026
1	0	0	0.177
1	0	0	0.238
0.9375	0.0625	0	0.043
0.875	0.125	0	0.001
0.83333	0.16667	0	0.004
0.75	0.25	0	0.001
0.6667	0.3333	0	-0.002
0.5	0.5	0	0.001
0.4565	0.5435	0	-0.129
0.3636	0.6364	0	-0.13
0.3333	0.6667	0	-0.013
0.25	0.75	0	-0.021
0.1667	0.8333	0	0.002
0.1538	0.8462	0	-0.067
0	1	0	0
0	1	0	0.072
0	0.75	0.25	0.001
0	0.75	0.25	-0.081
0	0.673	0.327	-0.101
0	0.6154	0.38846	-0.108
0.3333	0.3333	0.3333	-0.198
0	0.5	0.5	-0.052
0	0.5	0.5	-0.091
0.75	0.125	0.125	0.016
0.875	0.0625	0.0625	0.012
0.9375	0	0.0625	0.02
0.825	0	0.125	0.027
0.8333	0	0.1667	0.019
0.75	0	0.25	-0.012
0.6667	0	0.3333	-0.101
0.6667	0	0.3333	-0.106
0.5	0	0.5	-0.089
0.3333	0	0.6667	-0.143
0.25	0	0.75	-0.053
0.1667	0	0.8333	-0.023
0	0	1	0
0	0	1	0.143
