timestamp_utc,event_type,model_name,model_format,vertex_count,file_size_bytes,interaction_type,input_to_camera_change_ms,viewport_width,viewport_height,user_agent
2026-03-22T07:45:58.421633+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,30.4,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:46:07.236445+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,34.7,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:46:08.134243+00:00,pointerdown,mp-1661648_LiFePO4.ply,ply,225152,15310752,rotate_or_pan,4.7,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:46:08.579118+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:46:08.599097+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:46:08.614379+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:46:08.629632+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:46:08.639140+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:46:08.684531+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,5.1,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
2026-03-22T07:46:08.869291+00:00,wheel,mp-1661648_LiFePO4.ply,ply,225152,15310752,zoom,9.9,608,350,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
